start_height,avg_rcpt,avg_rcpt_var,avg_bct,std_bct,label,alpha,beta,K,utility_value,TO,PDT,TO-PDT,Differ,Differ_Normal,compute_utility_overhead (s),defense_overhead(s),training_overhead (s),feature_extraction_overhead (s),inference_overhead (s),episode_duration (s)
31,447.33691211850777,96.73116085513863,403.0948384869337,1000,0,0.1,0.1,4,0.15394771960976714,807.0720303412161,559.7507425289223,247.3212878122938,247.3212878122938,0.4122021463538239,8.440017700195312e-05,2.384185791015625e-07,0.06217622756958008,7.43865966796875e-05,0.0033118724822998047,0
32,442.9127047553504,91.03983139646644,559.7507425289223,1000,0,0.4,0.1,6.0,0.2653268862349453,1023.3247030041839,592.7821188956317,430.5425841085522,430.5425841085522,0.7175709735142535,8.368492126464844e-05,2.384185791015625e-07,0.06171154975891113,7.414817810058594e-05,0.0032935142517089844,0
33,489.6479198647791,88.94613052323412,592.7821188956317,1000,0,0.2,0.3,8.0,0.5969107226794478,1206.3907527402976,456.1335290670491,750.2572236732485,750.2572236732485,1.2504287061220811,8.20159912109375e-05,2.384185791015625e-07,0.06202244758605957,7.462501525878906e-05,0.0033731460571289062,0
34,510.27475967094966,87.0144991336685,456.1335290670491,1000,0,0.7,0.7,8.0,0.18806911613520813,772.1679635835765,458.9024731347799,313.2654904487966,313.2654904487966,0.5221091507479949,8.058547973632812e-05,2.384185791015625e-07,0.062302350997924805,7.343292236328125e-05,0.0033965110778808594,0
35,472.37589824821924,37.47400816691965,458.9024731347799,1000,0,0.1,0.2,5.0,0.006840487465189115,633.0506710066494,1343.3791490239928,-710.3284780173434,-710.3284780173434,-1.183880796695573,8.416175842285156e-05,7.152557373046875e-07,0.062496185302734375,7.462501525878906e-05,0.0033864974975585938,0
36,471.0285557368753,32.40442305395481,671.6895745119964,1000,0,0.1,0.8,8.0,0.9982223224169787,1698.7492026454127,473.4366879920704,1225.3125146533423,1225.3125146533423,2.0421875244222365,8.249282836914062e-05,4.76837158203125e-07,0.0625922679901123,7.343292236328125e-05,0.003470182418823242,0
37,491.0946576143874,150.95681812887815,473.4366879920704,1000,0,0.1,0.8,8.0,0.12876608914222087,832.5696746829067,643.0648020709958,189.50487261191086,189.50487261191086,0.3158414543531851,9.393692016601562e-05,7.152557373046875e-07,0.06264710426330566,7.43865966796875e-05,0.00347137451171875,0
38,489.3288606521557,42.905101753843866,643.0648020709958,1000,0,0.5,0.3,4.0,0.09206911473449984,778.5726811236427,695.7125601351804,82.86012098846231,82.86012098846231,0.13810020164743797,8.273124694824219e-05,4.76837158203125e-07,0.06303215026855469,7.605552673339844e-05,0.003511667251586914,0
39,566.1968313615757,53.093962440516734,695.7125601351804,1000,0,0.2,0.9,8.0,0.581991661880409,1380.5857448046727,642.179574539881,738.4061702647917,738.4061702647917,1.2306769504413193,8.416175842285156e-05,2.384185791015625e-07,0.06311702728271484,7.581710815429688e-05,0.003664255142211914,0
40,592.0999771162967,98.560720961047,642.179574539881,1000,0,0.1,0.7,3.0,0.08334516088876413,780.4630248541716,728.8690967428666,51.59392811130499,51.59392811130499,0.08598988018550813,8.153915405273438e-05,7.152557373046875e-07,0.06300020217895508,7.557868957519531e-05,0.0037200450897216797,0
41,597.1079368586552,61.11836266517213,728.8690967428666,1000,0,0.2,0.9,8.0,0.8742608528111055,1431.2991399006924,453.7145542388663,977.584585661826,977.584585661826,1.6293076427697102,8.845329284667969e-05,4.76837158203125e-07,0.06334352493286133,7.534027099609375e-05,0.003435850143432617,0
42,623.4601688354976,100.97987138314936,453.7145542388663,1000,0,0.2,0.2,7.0,0.8061160955791148,1345.1134140100348,428.69189461439544,916.4215193956394,916.4215193956394,1.5273691989927318,8.273124694824219e-05,4.76837158203125e-07,0.063140869140625,7.677078247070312e-05,0.0034656524658203125,0
43,589.5110459161714,107.9431954419805,428.69189461439544,1000,0,0.4,0.1,7.0,0.8782328060791892,1272.7695602266842,291.3192326963939,981.4503275302903,981.4503275302903,1.635750545883817,9.72747802734375e-05,2.384185791015625e-07,0.06360554695129395,7.534027099609375e-05,0.0035157203674316406,0
44,525.1833853954611,106.79802497588902,291.3192326963939,1000,0,0.3,0.9,7.0,0.9887223918672253,1561.1236704717492,425.0824820342585,1136.0411884374907,1136.0411884374907,1.8934019807291511,9.608268737792969e-05,4.76837158203125e-07,0.06420373916625977,7.43865966796875e-05,0.003567934036254883,0
